State,Year,Month,tavg,pcp
Alabama,2018,December,49.0,9.95
Alabama,2018,November,50.4,6.29
Alabama,2018,October,67.4,2.69
Alabama,2018,September,79.4,6.21
Alabama,2018,August,79.5,5.03
Alabama,2018,July,80.7,4.46
Alabama,2018,June,79.3,4.58
Alabama,2018,May,74.4,5.52
Alabama,2018,April,59.5,5.94
Alabama,2018,March,55.4,4.14
Alabama,2018,February,58.0,7.27
Alabama,2018,January,40.4,2.32
Alabama,2017,December,46.9,3.89
Alabama,2017,November,55.6,1.05
Alabama,2017,October,65.8,6.03
Alabama,2017,September,73.4,3.25
Alabama,2017,August,78.8,6.07
Alabama,2017,July,80.6,5.06
Alabama,2017,June,75.8,10.7
Alabama,2017,May,69.9,7.01
Alabama,2017,April,67.2,4.09
Alabama,2017,March,58.4,4.17
Alabama,2017,February,55.6,3.7
Alabama,2017,January,52.4,9.17
Alabama,2016,December,50.1,5.05
Alabama,2016,November,57.8,2.3
Alabama,2016,October,68.5,0.13
Alabama,2016,September,78.6,1.72
Alabama,2016,August,81.6,4.58
Alabama,2016,July,82.0,4.27
Alabama,2016,June,79.2,3.81
Alabama,2016,May,70.2,2.14
Alabama,2016,April,63.6,5.68
Alabama,2016,March,59.7,5.42
Alabama,2016,February,49.8,5.85
Alabama,2016,January,43.0,4.06
Alabama,2015,December,56.9,11.87
Alabama,2015,November,59.2,6.8
Alabama,2015,October,65.0,2.93
Alabama,2015,September,74.4,2.71
Alabama,2015,August,79.0,4.94
Alabama,2015,July,81.6,4.71
Alabama,2015,June,78.8,3.27
Alabama,2015,May,71.8,4.32
Alabama,2015,April,66.0,7.14
Alabama,2015,March,57.8,4.28
Alabama,2015,February,41.3,4.05
Alabama,2015,January,43.6,4.34
Alabama,2014,December,50.0,6.36
Alabama,2014,November,48.2,2.98
Alabama,2014,October,65.2,4.38
Alabama,2014,September,76.3,2.51
Alabama,2014,August,79.5,3.25
Alabama,2014,July,77.8,3.36
Alabama,2014,June,77.9,5.23
